hotel_name,url,score,description,address,latitude,longitude,cities
Hôtel du Pont Blanc,/hotel/fr/hotellerie-du-pont-blanc.fr.html?aid=304142&label=gen173nr-1FCAQoggJCI3NlYXJjaF9sZXMgc2FpbnRlcy1tYXJpZXMtZGUtbGEtbWVySA1YBGhNiAEBmAENuAEHyAEM2AEB6AEB-AEDiAIBqAIDuAKH_5GnBsACAdICJDJmMzUxMzAwLTNkZDEtNGY1YS1hZTA4LTA4YTM0NmFjNWZkNNgCBeACAQ&sid=a60444d289854990d3eaedadc514500c&breadcrumb=hotel&srpvid=cc9342832ae00007&,9.1,"Situé à Saintes-Marie-de-la-Mer, l'Hôtel du Pont Blanc se trouve dans un jardin fleuri avec terrasse et piscine, à seulement 8 minutes à pied de la plage. Une connexion Wi-Fi et un parking privé sont disponibles gratuitement.Les chambres de l'hôtel disposent d'une terrasse avec vue sur le jardin et d'une télévision à écran plat. Leur salle de bains privative est pourvue d'articles de toilette gratuits, d'un sèche-cheveux et d'une baignoire.Chaque matin, un petit-déjeuner continental est servi à l'hôtel moyennant des frais supplémentaires. Tout au long de la journée, vous trouverez votre petit coin calme dans le jardin. Une pause lecture? Une petite sieste à l'ombre de nos pins ? Laissez-vous tenter. Vous trouverez de nombreux restaurants à 5 minutes à pied.Le centre-ville de Saintes-Marie-de-la-Mer se trouve à seulement 5 minutes à pied. Vous pourrez rejoindre Aigues-Mortes à 25 km et Le Grau-du-Roi à 34 km.  La gare d'Arles se trouve à 35 km.","Chemin du Pont Blanc, 13460 Les Saintes-Maries-de-la-Mer, France",43.45705076,4.42464903,  Les Saintes-Maries-de-la-Mer
Lodge Sainte Helene,/hotel/fr/lodge-sainte-helene.fr.html?aid=304142&label=gen173nr-1FCAQoggJCI3NlYXJjaF9sZXMgc2FpbnRlcy1tYXJpZXMtZGUtbGEtbWVySA1YBGhNiAEBmAENuAEHyAEM2AEB6AEB-AEDiAIBqAIDuAKL_5GnBsACAdICJGVjMTljYzkxLTMxYjctNDExZC1iODdjLWFmZjAzOTVkYWY0ZdgCBeACAQ&sid=7612d06a920729087868097da4d57850&breadcrumb=hotel&srpvid=96a34285c35303fa&,9.1,"Situé sur la presqu'île d'un lac près des Saintes-Maries-de-la-Mer (1,5 km), le Lodge Sainte Helene offre une vue panoramique sur le lac et ses somptueux couchers de soleil. Une connexion Wi-Fi gratuite est disponible. Vous pourrez profiter d'une piscine extérieure chauffée en été, d'un jardin ainsi que d'une terrasse pour vous détendre dans un cadre paisible et très reposant.Les chambres doubles supérieures disposent d'un balcon donnant sur le lac, d'un minibar, d'une télévision à écran plat et d'une machine à café/thé. Les salles de bains privatives sont pourvues d'une baignoire ou d'une grande douche à l'italienne, d'un sèche-cheveux, d'un peignoir, de chaussons et d'articles de toilette l'Occitane gratuits.Pour bien commencer votre journée, vous pourrez déguster un petit-déjeuner brunch ou buffet en chambre ou dans les parties communes au bord du lac ou sur la terrasse. Des services de repassage et de blanchisserie sont également assurés.Vous pourrez pratiquer plusieurs activités sur place ou dans les environs, comme l'équitation, le vélo et la randonnée sur les sentiers du parc national de Camargue, sur réservation. Pour votre confort, un parking est mis gratuitement à votre disposition devant votre chambre.","Chemin Bas des Launes, 13460 Les Saintes-Maries-de-la-Mer, France",43.46575556,4.41393435,  Les Saintes-Maries-de-la-Mer
Mas de la Fouque - Hôtel & Spa,/hotel/fr/lodge-de-la-fouque.fr.html?aid=304142&label=gen173nr-1FCAQoggJCI3NlYXJjaF9sZXMgc2FpbnRlcy1tYXJpZXMtZGUtbGEtbWVySA1YBGhNiAEBmAENuAEHyAEM2AEB6AEB-AEDiAIBqAIDuAKL_5GnBsACAdICJGVjMTljYzkxLTMxYjctNDExZC1iODdjLWFmZjAzOTVkYWY0ZdgCBeACAQ&sid=1849fcde828443e2ef482cd627739e41&breadcrumb=hotel&srpvid=96a34285c35303fa&,7.5,"Le boutique-hôtel Mas de la Fouque - Hôtel & Spa vous accueille au cœur de la réserve naturelle de la Camargue, à seulement 10 minutes de route des Saintes-Maries-de-la-Mer et à 2 km des plages. L’établissement propose une piscine extérieure et un bar sur place.Décorées de façon unique, les chambres et les suites sont toutes équipées de la climatisation. Certains hébergements disposent d'une terrasse privée donnant sur les lagons ou la piscine. Vous bénéficierez d’une télévision par satellite. Une connexion Wi-Fi gratuite est disponible dans l’ensemble des locaux.Vous pourrez observer la faune locale, notamment les flamants roses, les chevaux camarguais et les taureaux sauvages, tout en prenant un verre dans les salons extérieurs. Le spa Nuxe sur place propose un sauna, une baignoire extérieure relaxante et une piscine intérieureLe restaurant prépare une cuisine bio et naturelle. Vous pourrez prendre vos repas en plein air ou près de la cheminée en hiver. L’établissement sert un petit-déjeuner buffet tous les matins.Un parking privé est accessible gratuitement sur place. Le Mas de la Fouque se trouve à 40 minutes de la gare de Nîmes, tandis que l’aéroport de Montpellier-Méditerranée est accessible à 35 km.","Route du Petit Rhône, 13460 Les Saintes-Maries-de-la-Mer, France",43.4670806,4.40451175,  Les Saintes-Maries-de-la-Mer
Lou Mas Dou Juge,/hotel/fr/lou-mas-dou-juge.fr.html?aid=304142&label=gen173nr-1FCAQoggJCI3NlYXJjaF9sZXMgc2FpbnRlcy1tYXJpZXMtZGUtbGEtbWVySA1YBGhNiAEBmAENuAEHyAEM2AEB6AEB-AEDiAIBqAIDuAKL_5GnBsACAdICJGVjMTljYzkxLTMxYjctNDExZC1iODdjLWFmZjAzOTVkYWY0ZdgCBeACAQ&sid=46bedbba688404631aecb2e4c0f5ff50&breadcrumb=hotel&srpvid=96a34285c35303fa&,8.8,"Aménagé dans une maison du XVIIIe siècle située dans un parc de 120 hectares, le Lou Mas Dou Juge se situe à 12 km de Saintes Maries de la Mer. Il dispose d'une chapelle sur place et vous propose des hébergements munis de salles de bains privatives.Les chambres comprennent une télévision à écran plat et une armoire. Les salles de bains privatives, quant à elles, sont équipées d'une baignoire ou d'une douche et de toilettes.Sur demande, vous pourrez déguster une cuisine régionale servie à une table commune. Des apéritifs maison peuvent également vous être proposés, si vous le désirez.Le Lou Mas Dou Juge se trouve à 18 km de la gare d'Aigues Mortes et à 50 km de l'aéroport de Montpellier.","Route de Pin Fourcat, 13460 Les Saintes-Maries-de-la-Mer, France",43.52074387,4.35478628,  Les Saintes-Maries-de-la-Mer
Cacharel,/hotel/fr/cacharel.fr.html?aid=304142&label=gen173nr-1FCAQoggJCI3NlYXJjaF9sZXMgc2FpbnRlcy1tYXJpZXMtZGUtbGEtbWVySA1YBGhNiAEBmAENuAEHyAEM2AEB6AEB-AEDiAIBqAIDuAKL_5GnBsACAdICJGVjMTljYzkxLTMxYjctNDExZC1iODdjLWFmZjAzOTVkYWY0ZdgCBeACAQ&sid=5fa9e5e3603a87d4e3abf0dfff485b3c&breadcrumb=hotel&srpvid=96a34285c35303fa&,8.2,"Situé à 5 km du centre de Saintes-Maries-de-la-Mer, l'établissement Cacharel dispose d'une piscine extérieure et d'une aire de jeux pour enfants. Il propose également une terrasse et un bar.Les chambres possèdent une télévision à écran plat et une salle de bains privative avec une baignoire ou une douche. Certaines offrent une vue sur le lac ou le jardin.L'établissement sert des repas légers sur demande, composés notamment de charcuterie, saucisson, fromage, salade et tomates.Vous trouverez une réception ouverte 24h/24 et des salles de réunions. Vous pourrez pratiquer l'équitation sur place, sur réservation. L'hôtel propose également un service de location de vélos.Vous séjournerez à 52 km de l'aéroport de Montpellier Méditerranée. Le stationnement privé est assuré gratuitement sur place.","Route de Cacharel, 13460 Les Saintes-Maries-de-la-Mer, France",43.49245835,4.44407601,  Les Saintes-Maries-de-la-Mer
Mercure Marseille Centre Prado Vélodrome,/hotel/fr/mercure-marseille-prado.fr.html?aid=304142&label=gen173nr-1FCAQoggJCEHNlYXJjaF9tYXJzZWlsbGVIDVgEaE2IAQGYAQ24AQfIAQzYAQHoAQH4AQOIAgGoAgO4Apz_kacGwAIB0gIkMjU0NzdmYmYtNWY2My00YzVhLWIwNmEtZWVlOWI0NzkxODRi2AIF4AIB&sid=4cdf275ef5666076b9bf002101d4072b&breadcrumb=hotel&srpvid=2d55428e27040416&,8.2,"Situé à Marseille, le Mercure Marseille Centre Prado Vélodrome se trouve à seulement 400 mètres du stade Vélodrome et du parc Chanot. Il est installé à 1,5 km de la plage la plus proche.Les chambres climatisées disposent d'une télévision par satellite et d'une salle de bains privative.Chaque matin, le Mercure Marseille Prado prépare un petit-déjeuner buffet. Les repas peuvent être servis sur la terrasse de l'hôtel, qui dispose également d'une connexion Wi-Fi. De plus, vous aurez l'occasion de savourer un cocktail au bar sur place.Les activités praticables sur la plage voisine incluent la plongée avec tuba et la planche à voile.Le Mercure Marseille est à 2 minutes à pied de la station de métro Rond-Point du Prado, permettant d'accéder au Vieux-Port et à la gare Saint-Charles.","11 Avenue De Mazargues, 13008 Marseille, France",43.26947577,5.38823336,  Marseille
PARADISE Earth & Sea,/hotel/fr/paradise-eart-amp-sea.fr.html?aid=304142&label=gen173nr-1FCAQoggJCEHNlYXJjaF9tYXJzZWlsbGVIDVgEaE2IAQGYAQ24AQfIAQzYAQHoAQH4AQOIAgGoAgO4AqD_kacGwAIB0gIkM2UzYjExMGEtN2Q2OC00MjIxLWJkY2YtYzQ3ZDgwYjZmZjA32AIF4AIB&sid=9c25c28b70fa991ffa3f8ab485ade098&breadcrumb=hotel&srpvid=4ac74290d60200d7&,7.8,"Situé à moins de 400 mètres du centre de Marseille, le PARADISE Earth & Sea propose un hébergement avec une connexion Wi-Fi gratuite ainsi qu'une kitchenette équipée d'un micro-ondes, d'un réfrigérateur et d'ustensiles de cuisine.Tous les logements disposent de la climatisation et d'une télévision à écran plat. La salle de bains privative entièrement équipée est pourvue d'une douche à l'italienne et d'un sèche-cheveux.Cet appart'hôtel possède une terrasse.Vous séjournerez à proximité de la station de métro Vieux Port, de la rue Saint-Ferréol et de la station de métro Castellane. L'aéroport de Marseille-Provence, le plus proche, est implanté à 22 km.","32 Rue Paradis, 13001 Marseille, France",43.2933693,5.376677,  Marseille
NH Collection Marseille,/hotel/fr/nh-collection-marseille.fr.html?aid=304142&label=gen173nr-1FCAQoggJCEHNlYXJjaF9tYXJzZWlsbGVIDVgEaE2IAQGYAQ24AQfIAQzYAQHoAQH4AQOIAgGoAgO4AqT_kacGwAIB0gIkNTUzYjgxYzctNWY5ZC00ZDQ3LWIxOTEtYWNiODlhYTJlMTlk2AIF4AIB&sid=6faba8bd60abbdf92e3a7cb49590378b&breadcrumb=hotel&srpvid=24bd42928537023c&,8.4,"Doté d'un bar à cocktails, d'un jardin et d'une salle de sport au 6ème étage, le NH Collection Marseille vous accueille à La Joliette, le nouveau quartier des affaires et de loisirs de Marseille, entre le port et le centre-ville. Il occupe un bâtiment inauguré par Napoléon III en 1864 qui a conservé son style d'origine.Élégamment décorées, les chambres comprennent une bouilloire électrique, une machine à café et une salle de bains privative.Le restaurant de l'hôtel sert des plats locaux et internationaux, avec une gamme variée de fromages et de vins locaux.Un bar à cocktails est aménagé près de la réception de l'hôtel, et un jardin vous attend au centre de l'établissement.Le NH Collection Marseille possède une réception ouverte 24h/24 et 4 salles de réunion.L'hôtel se trouve à 900 mètres du musée des civilisations de l'Europe et de la Méditerranée, et à 1,4 km du palais du Pharo. L'aéroport de Marseille-Provence, le plus proche du NH Collection Marseille, se situe à 19 km.","37 Boulevard des Dames, 13002 Marseille, France",43.3024211,5.3686337,  Marseille
Novotel Suites Marseille Centre Euromed,/hotel/fr/marseille-centre-euromed.fr.html?aid=304142&label=gen173nr-1FCAQoggJCEHNlYXJjaF9tYXJzZWlsbGVIDVgEaE2IAQGYAQ24AQfIAQzYAQHoAQH4AQOIAgGoAgO4Aqj_kacGwAIB0gIkNjQzYzY3ODEtMTA1MS00MzQ4LThmNGUtMTYyNGIzMDNmY2Vl2AIF4AIB&sid=cf68b092b76c9010554665ccbee009fd&breadcrumb=hotel&srpvid=fca84294edac0479&,8.1,"Le Novotel Suites Marseille Centre Euromed est à seulement 20 minutes de marche du Vieux-Port de Marseille. L’établissement propose une salle de sport ainsi que des suites avec une kitchenette, un micro-ondes et un réfrigérateur.Les suites spacieuses et modernes du Novotel sont toutes pourvues de la climatisation ainsi que d’une bouteille d’eau minérale gratuite. Chaque hébergement dispose d'une connexion Wi-Fi et d'une télévision par satellite. Certaines chambres s’ouvrent sur un balcon.Le matin, l’hôtel sert un petit-déjeuner buffet. Le bar propose des apéritifs. L’établissement met gratuitement à votre disposition l’espace collations Boutique Gourmande, une salle de repassage ainsi qu’une salle de sport.La réception est ouverte 24h/24. Le centre-ville est directement accessible en tramway, et vous pourrez rejoindre la station de métro Joliette en seulement 2 minutes à pied.","33, Boulevard de Dunkerque - La Joliette, 13002 Marseille, France",43.30796539,5.36746502,  Marseille
Apparteo Marseille,/hotel/fr/apparteo-marseille.fr.html?aid=304142&label=gen173nr-1FCAQoggJCEHNlYXJjaF9tYXJzZWlsbGVIDVgEaE2IAQGYAQ24AQfIAQzYAQHoAQH4AQOIAgGoAgO4Aqr_kacGwAIB0gIkYWZhZWVkYzUtMGI4MC00NjcyLWI0NTAtNDE0ZjMxZWRmYjEz2AIF4AIB&sid=254782e52d62bea903e39685a8bc2f02&breadcrumb=hotel&srpvid=e9d64295e392079d&,6.7,"Offrant une vue sur la ville, l’Apparteo Marseille est installé à Marseille, en Provence-Alpes-Côte d'Azur, à 200 mètres du stade Vélodrome. L’établissement se trouve à 5 km du palais du Pharo. Vous profiterez d’une connexion Wi-Fi gratuite dans l’ensemble des locaux, sauf dans l’appartement avec terrasse.Tous les logements incluent un bureau et une télévision à écran plat. Certains appartements comprennent également un coin salon et/ou un coin repas. La kitchenette est équipée d’un micro-ondes, d’un réfrigérateur et de plaques de cuisson. Le linge de lit et les serviettes sont fournis.L’Apparteo Marseille est implanté à 4 km de l’avenue La Canebière et à 5 km du vieux port de Marseille. L’aéroport Marseille-Provence, le plus proche, se trouve à 28 km de l’Apparteo Marseille.","12 allée Marcel Leclerc, Bâtiment A, 13008 Marseille, France",43.26811604,5.3945848,  Marseille
