cities,temperature,humidity,wind_speed,rain_probability,rain_quantity,latitude,longitude
Aigues Mortes,29.95625,45.125,17.703,0.13625,2.05,43.5658225,4.1912837
Aix en Provence,34.2875,26.25,16.902,0.1225,0.23666666666666666,43.5298424,5.4474738
Amiens,24.575,49.625,16.938000000000002,0.28250000000000003,1.9675,49.8941708,2.2956951
Annecy,31.6525,41.25,6.984,0.35625,6.1000000000000005,45.8992348,6.1288847
Ariege,26.92125,42.375,10.7685,0.43,3.568,42.9455368,1.4065544156065486
Avignon,36.99875,22.875,22.509,0.18125,1.015,43.9492493,4.8059012
Bayeux,22.02,62.75,16.7625,0.31375,2.5549999999999997,49.2764624,-0.7024738
Bayonne,24.81875,71.875,15.5295,0.2425,4.783333333333334,43.4945144,-1.4736657
Besancon,30.57125,50.375,8.7165,0.3325,6.2700000000000005,47.2380222,6.0243622
Biarritz,24.03625,73.875,15.516,0.24,5.166666666666667,43.471143749999996,-1.552726590666314
Bormes les Mimosas,30.50375,49.375,11.853,0.09,0.58,43.1506968,6.3419285
Carcassonne,34.9175,32.625,19.3545,0.3625,3.016666666666667,43.2130358,2.3491069
Cassis,30.14875,49.125,12.3435,0.09875,0.24,43.2140359,5.5396318
Chateau du Haut Koenigsbourg,28.0675,49.0,9.504,0.40249999999999997,7.234,48.249489800000006,7.34429620253195
Collioure,30.244999999999997,53.0,16.047,0.0925,,42.52505,3.0831554
Colmar,31.50625,47.375,10.188,0.38875000000000004,8.5025,48.0777517,7.3579641
Dijon,31.5225,44.625,13.8645,0.405,6.81,47.3215806,5.0414701
Eguisheim,31.50875,48.125,9.486,0.39125,8.807500000000001,48.0447968,7.3079618
Gorges du Verdon,31.30625,28.875,15.912,0.22,2.9749999999999996,43.7496562,6.3285616
Grenoble,34.2625,37.125,8.221499999999999,0.37125,6.7775,45.1875602,5.7357819
La Rochelle,25.34625,63.0,24.192,0.16999999999999998,0.68,46.1591126,-1.1520434
Le Havre,20.35,71.375,17.379,0.2975,3.723333333333333,49.4938975,0.1079732
Lille,25.03,47.25,14.832,0.29125,1.4066666666666665,50.6365654,3.0635282
Lyon,34.0225,33.0,14.2965,0.3725,3.1300000000000003,45.7578137,4.8320114
Marseille,29.93875,46.375,13.329,0.095,0.32499999999999996,43.2961743,5.3699525
Mont Saint Michel,22.625,60.75,18.5355,0.2375,2.3800000000000003,48.6359541,-1.511459954959514
Montauban,32.567499999999995,38.375,15.961500000000001,0.3375,8.126666666666667,44.0175835,1.3549991
Nimes,36.6175,24.375,19.674,0.19125,1.375,43.8374249,4.3600687
Paris,27.7375,45.875,14.980500000000001,0.34375,2.3966666666666665,48.8588897,2.3200410217200766
Rouen,24.4525,54.125,16.038,0.30874999999999997,4.95,49.4404591,1.0939658
Saintes Maries de la mer,28.08625,57.5,18.0,0.09125,1.66,43.4522771,4.4287172
St Malo,21.15,64.25,21.654,0.25125,0.88,48.649518,-2.0260409
Strasbourg,30.21875,51.5,11.0115,0.38375,6.73,48.584614,7.7507127
Toulouse,33.21375,36.125,19.503,0.39749999999999996,8.432500000000001,43.6044622,1.4442469
Uzes,36.52125,22.0,20.817,0.22749999999999998,1.5933333333333335,44.0121279,4.4196718
