,checkin_type,state,delay_at_checkout_in_minutes,time_delta_with_previous_rental_in_minutes
0,mobile,canceled,,
1,mobile,ended,-81.0,
2,connect,ended,70.0,
3,connect,canceled,,
4,mobile,ended,,
5,mobile,ended,-203.0,
6,connect,ended,-15.0,570.0
7,mobile,ended,-44.0,
8,mobile,canceled,,
9,connect,ended,23.0,
10,mobile,canceled,,
11,connect,canceled,,
12,mobile,ended,214.0,
13,mobile,ended,15.0,
14,mobile,canceled,,
15,connect,ended,-81.0,
16,mobile,ended,-156.0,
17,mobile,ended,66.0,
18,mobile,ended,215.0,
19,mobile,ended,58.0,420.0
20,connect,ended,-159.0,
21,mobile,ended,-16.0,
22,mobile,canceled,,
23,mobile,ended,,0.0
25,mobile,ended,-29.0,
26,mobile,canceled,,
27,mobile,ended,-251.0,
28,mobile,ended,35.0,
29,mobile,ended,,
30,mobile,ended,-345.0,
31,mobile,canceled,,
32,mobile,canceled,,
33,mobile,ended,-26.0,
34,mobile,ended,,60.0
35,mobile,ended,22.0,
36,mobile,ended,-15.0,
37,connect,ended,52.0,
38,mobile,ended,-2.0,
39,connect,ended,-1.0,
40,connect,ended,-76.0,330.0
41,mobile,canceled,,
42,mobile,canceled,,
43,mobile,ended,15.0,
44,mobile,canceled,,
45,mobile,ended,,
46,mobile,ended,,
47,mobile,ended,-68.0,
48,mobile,ended,-340.0,
49,mobile,ended,130.0,
50,mobile,ended,29.0,
51,mobile,ended,-4.0,
52,mobile,ended,-160.0,
53,mobile,ended,-30.0,
54,mobile,ended,-47.0,
55,connect,ended,-63.0,
56,mobile,ended,-148.0,
57,mobile,ended,44.0,
58,mobile,ended,-98.0,
59,mobile,ended,-33.0,
60,mobile,ended,-340.0,
61,connect,ended,-167.0,
62,mobile,ended,31.0,
63,mobile,canceled,,
64,connect,ended,-6.0,630.0
65,mobile,ended,79.0,
66,mobile,ended,,
67,mobile,ended,30.0,
68,mobile,canceled,,
69,mobile,canceled,,
70,mobile,ended,33.0,
71,mobile,ended,-52.0,
72,mobile,ended,44.0,
73,connect,ended,-576.0,
74,mobile,ended,-7.0,90.0
75,mobile,canceled,,
76,connect,ended,-178.0,
77,connect,ended,37.0,
78,mobile,ended,24.0,
79,mobile,ended,40.0,
80,mobile,ended,137.0,
81,mobile,ended,249.0,
82,mobile,ended,23.0,
83,connect,ended,-108.0,
84,mobile,ended,-6.0,
85,mobile,ended,-150.0,
86,mobile,ended,9.0,
87,mobile,ended,68.0,300.0
88,connect,ended,38.0,
89,mobile,ended,-1.0,
90,mobile,ended,74.0,60.0
91,mobile,ended,-10.0,
92,mobile,ended,-843.0,
93,mobile,canceled,,
94,mobile,ended,780.0,
95,connect,ended,-130.0,
96,mobile,canceled,,
97,mobile,ended,271.0,
98,mobile,ended,-12.0,
99,mobile,ended,933.0,
100,mobile,canceled,,
101,mobile,canceled,,
103,mobile,ended,-125.0,
104,mobile,ended,-96.0,
105,mobile,ended,205.0,
106,mobile,canceled,,
107,mobile,ended,18.0,0.0
108,mobile,ended,48.0,
109,mobile,ended,266.0,
110,mobile,ended,36.0,
111,connect,canceled,,
112,mobile,ended,-35.0,
113,mobile,ended,80.0,
115,mobile,ended,-24.0,
116,mobile,ended,-129.0,
117,connect,ended,2.0,
118,mobile,ended,-37.0,
119,mobile,ended,8.0,
120,mobile,ended,-155.0,
121,mobile,ended,134.0,
122,mobile,ended,-15.0,
123,mobile,ended,13.0,
124,connect,ended,-348.0,
125,mobile,ended,-120.0,
126,mobile,ended,85.0,
127,mobile,ended,-35.0,
128,mobile,ended,66.0,
129,mobile,ended,,
130,mobile,ended,32.0,
131,connect,ended,41.0,
132,mobile,ended,3.0,
133,connect,ended,-536.0,
134,connect,canceled,,
135,mobile,ended,216.0,
136,mobile,ended,,
137,mobile,ended,28.0,
138,mobile,ended,-51.0,
139,mobile,ended,93.0,
140,mobile,ended,-196.0,
141,mobile,ended,9.0,
142,mobile,ended,-988.0,720.0
143,mobile,ended,-6.0,
144,mobile,ended,-18.0,
145,mobile,ended,,
146,mobile,ended,-62.0,
147,mobile,ended,210.0,
148,mobile,ended,12.0,0.0
149,mobile,ended,-24.0,
150,mobile,ended,-5.0,
151,connect,canceled,,
152,connect,ended,90.0,
154,mobile,ended,-14.0,
155,mobile,ended,11.0,
156,mobile,ended,-7.0,
157,mobile,ended,146.0,
158,mobile,ended,-25.0,
159,mobile,ended,,
160,mobile,ended,13.0,
161,mobile,ended,901.0,
162,mobile,canceled,,
163,mobile,ended,52.0,
164,mobile,ended,125.0,0.0
165,mobile,ended,,
166,mobile,ended,165.0,
167,mobile,ended,-25.0,
168,mobile,ended,,
169,mobile,ended,,
170,mobile,ended,83.0,
171,mobile,ended,69.0,
172,mobile,ended,156.0,
173,mobile,ended,,30.0
174,mobile,canceled,,
175,mobile,ended,12.0,
176,mobile,ended,50.0,180.0
177,mobile,ended,-7.0,
178,mobile,canceled,,
179,mobile,ended,183.0,
180,mobile,canceled,,
181,mobile,ended,-170.0,
182,mobile,ended,-36.0,
183,connect,ended,-106.0,
184,mobile,ended,9.0,
185,mobile,ended,-21.0,
186,mobile,ended,64.0,
187,mobile,ended,23.0,
188,mobile,ended,14.0,
189,mobile,ended,5.0,
190,mobile,ended,300.0,
191,mobile,ended,-18.0,
192,mobile,ended,,
193,mobile,ended,12.0,
194,connect,ended,48.0,
195,connect,ended,-9.0,240.0
196,mobile,ended,-57.0,
197,connect,ended,-529.0,
198,mobile,ended,670.0,
199,mobile,ended,-1087.0,
200,mobile,ended,-53.0,
201,connect,ended,64.0,540.0
202,mobile,ended,2.0,
